State,Pop_2000,Pop_2010,Pop_2020,PctChange_2000,PctChange_2010,PctChange_2020,State Code,Region,Division
Alabama,4447100,4779736,5024279,10.1,7.5,5.1,AL,South,East South Central
Alaska,626932,710231,733391,14,13.3,3.3,AK,West,Pacific
Arizona,5130632,6392017,7151502,40,24.6,11.9,AZ,West,Mountain
Arkansas,2673400,2915918,3011524,13.7,9.1,3.3,AR,South,West South Central
California,33871648,37253956,39538223,13.8,10,6.1,CA,West,Pacific
Colorado,4301261,5029196,5773714,30.6,16.9,14.8,CO,West,Mountain
Connecticut,3405565,3574097,3605944,3.6,4.9,0.9,CT,Northeast,New England
Delaware,783600,897934,989948,17.6,14.6,10.2,DE,South,South Atlantic
District of Columbia,572059,601723,689545,-5.7,5.2,14.6,DC,South,South Atlantic
Florida,15982378,18801310,21538187,23.5,17.6,14.6,FL,South,South Atlantic
Georgia,8186453,9687653,10711908,26.4,18.3,10.6,GA,South,South Atlantic
Hawaii,1211537,1360301,1455271,9.3,12.3,7,HI,West,Pacific
Idaho,1293953,1567582,1839106,28.5,21.1,17.3,ID,West,Mountain
Illinois,12419293,12830632,12812508,8.6,3.3,-0.1,IL,Midwest,East North Central
Indiana,6080485,6483802,6785528,9.7,6.6,4.7,IN,Midwest,East North Central
Iowa,2926324,3046355,3190369,5.4,4.1,4.7,IA,Midwest,West North Central
Kansas,2688418,2853118,2937880,8.5,6.1,3,KS,Midwest,West North Central
Kentucky,4041769,4339367,4505836,9.7,7.4,3.8,KY,South,East South Central
Louisiana,4468976,4533372,4657757,5.9,1.4,2.7,LA,South,West South Central
Maine,1274923,1328361,1362359,3.8,4.2,2.6,ME,Northeast,New England
Maryland,5296486,5773552,6177224,10.8,9,7,MD,South,South Atlantic
Massachusetts,6349097,6547629,7029917,5.5,3.1,7.4,MA,Northeast,New England
Michigan,9938444,9883640,10077331,6.9,-0.6,2,MI,Midwest,East North Central
Minnesota,4919479,5303925,5706494,12.4,7.8,7.6,MN,Midwest,West North Central
Mississippi,2844658,2967297,2961279,10.5,4.3,-0.2,MS,South,East South Central
Missouri,5595211,5988927,6154913,9.3,7,2.8,MO,Midwest,West North Central
Montana,902195,989415,1084225,12.9,9.7,9.6,MT,West,Mountain
Nebraska,1711263,1826341,1961504,8.4,6.7,7.4,NE,Midwest,West North Central
Nevada,1998257,2700551,3104614,66.3,35.1,15,NV,West,Mountain
New Hampshire,1235786,1316470,1377529,11.4,6.5,4.6,NH,Northeast,New England
New Jersey,8414350,8791894,9288994,8.9,4.5,5.7,NJ,Northeast,Middle Atlantic
New Mexico,1819046,2059179,2117522,20.1,13.2,2.8,NM,West,Mountain
New York,18976457,19378102,20201249,5.5,2.1,4.2,NY,Northeast,Middle Atlantic
North Carolina,8049313,9535483,10439388,21.4,18.5,9.5,NC,South,South Atlantic
North Dakota,642200,672591,779094,0.5,4.7,15.8,ND,Midwest,West North Central
Ohio,11353140,11536504,11799448,4.7,1.6,2.3,OH,Midwest,East North Central
Oklahoma,3450654,3751351,3959353,9.7,8.7,5.5,OK,South,West South Central
Oregon,3421399,3831074,4237256,20.4,12,10.6,OR,West,Pacific
Pennsylvania,12281054,12702379,13002700,3.4,3.4,2.4,PA,Northeast,Middle Atlantic
Puerto Rico,3808610,3725789,3285874,8.1,-2.2,-11.8,,,
Rhode Island,1048319,1052567,1097379,4.5,0.4,4.3,RI,Northeast,New England
South Carolina,4012012,4625364,5118425,15.1,15.3,10.7,SC,South,South Atlantic
South Dakota,754844,814180,886667,8.5,7.9,8.9,SD,Midwest,West North Central
Tennessee,5689283,6346105,6910840,16.7,11.5,8.9,TN,South,East South Central
Texas,20851820,25145561,29145505,22.8,20.6,15.9,TX,South,West South Central
Utah,2233169,2763885,3271616,29.6,23.8,18.4,UT,West,Mountain
Vermont,608827,625741,643077,8.2,2.8,2.8,VT,Northeast,New England
Virginia,7078515,8001024,8631393,14.4,13,7.9,VA,South,South Atlantic
Washington,5894121,6724540,7705281,21.1,14.1,14.6,WA,West,Pacific
West Virginia,1808344,1852994,1793716,0.8,2.5,-3.2,WV,South,South Atlantic
Wisconsin,5363675,5686986,5893718,9.6,6,3.6,WI,Midwest,East North Central
Wyoming,493782,563626,576851,8.9,14.1,2.3,WY,West,Mountain
